id;smeller;sample;intensity;humor;note;image;feeling;name
3;3;S41;60;DOUCEUR;CHIMIQUE;ALCOOL;20;
11;11;CS1;40;ANXIETE;CHIMIQUE;ESSENCE;80;
14;14;CS10;40;DOUCEUR;CHIMIQUE;ESSENCE;20;
17;17;CS16;100;ANXIETE;GRASSE;BEURRE RANCE;80;
19;19;CS24;40;AFFECTION;FRUITEE;RAISIN;40;
20;20;CS24;80;IRRITATION;GRASSE;CUMIN;80;
22;22;PB1;60;IRRITATION;ANIMALE;SANGLIER;80;
23;23;PB2;100;COLERE;ANIMALE;CHIEN MOUILLE;60;
26;26;PB4;100;AFFECTION;ANIMALE;BOUC / CHEVRE;100;
27;27;PB4;100;COLERE;ANIMALE;SANGLIER;100;
31;31;CS57;100;AFFECTION;EPICEE;SANGLIER;72;test1216
32;31;CS2;11;NERVOSITE;FRUITEE;FRUIT DE LA PASSION;58;test1217
33;31;CS54;50;TRISTESSE;VEGETALE;PIMENT;70;test1218
34;31;CS16;77;NERVOSITE;EPICEE;SANGLIER;66;test1219
35;31;S45;79;COLERE;EPICEE;RAISIN;80;test1220
36;31;PB3;92;IRRITATION;EPICEE;ASPERGE;63;test1221
37;32;CS52;72;IRRITATION;VEGETALE;ASPERGE;56;testes
40;34;CS5;16;AFFECTION;CHIMIQUE;ALCOOL;38;Tuyau
41;35;S28;5;DOUCEUR;VEGETALE;RAISIN;49;Le néant
42;36;S41;79;AFFECTION;ANIMALE;CHIEN MOUILLE;100;fourure
43;35;S36;0;TRISTESSE;VEGETALE;RAISIN;49;Rien
44;36;CS49;70;EXCITATION;EPICEE;PIMENT;0;poivre frais
45;34;CS19;84;NERVOSITE;ANIMALE;BOUC / CHEVRE;57;Voiture
46;35;CS33;29;BONHEUR;FRUITEE;FRUIT DE LA PASSION;13;Fruit fruit
47;34;CS8;56;ANXIETE;EPICEE;CUMIN;33;mangrove
48;36;S32;11;EXCITATION;ANIMALE;FRUIT DE LA PASSION;0;amour
49;35;CS38;0;TRISTESSE;VEGETALE;RAISIN;100;Rien
50;35;CS24;78;NERVOSITE;CHIMIQUE;CUMIN;62;Champignon de piscine
51;34;CS27;78;EXCITATION;VEGETALE;PIMENT;24;Camphre
52;35;CS29;0;AFFECTION;VEGETALE;RAISIN;100;Rien
53;34;CS51;90;PEUR;GRASSE;CHOUX;86;Effort
55;34;CS50;74;NERVOSITE;EPICEE;VINAIGRE;59;Bar
56;37;S44;90;BONHEUR;FRUITEE;FRUIT DE LA PASSION;0;Mandarinne
57;37;CS15;18;DOUCEUR;ANIMALE;ESSENCE;17;Sueur froide
58;37;CS54;0;DOUCEUR;CHIMIQUE;RAISIN;24;odeur trés neutre
59;37;PB3;71;EXCITATION;EPICEE;PIMENT;14;good peper ! :)
60;37;S46;17;AFFECTION;FRUITEE;RAISIN;24;
62;38;CS17;19;DOUCEUR;VEGETALE;RAISIN;0;fade
64;39;CS3;10;DOUCEUR;CHIMIQUE;MENTHE;30;
65;40;S38;0;AFFECTION;ANIMALE;BOUILLON DE POULET;100;
67;39;CS53;97;IRRITATION;ANIMALE;BOUC / CHEVRE;100;
68;41;S48;57;IRRITATION;FRUITEE;FROMAGE;49;test
69;41;CS22;100;TRISTESSE;CHIMIQUE;ALCOOL;52;hopital
70;39;CS11;72;ANXIETE;CHIMIQUE;VINAIGRE;53;
71;41;CS31;24;DOUCEUR;ANIMALE;BOUILLON DE POULET;55;
72;39;CS24;40;ANXIETE;CHIMIQUE;VINAIGRE;63;
73;39;CS5;70;DOUCEUR;CHIMIQUE;VINAIGRE;77;
74;41;CS18;100;PEUR;CHIMIQUE;BEURRE RANCE;100;
75;41;S44;87;BONHEUR;FRUITEE;FRUIT DE LA PASSION;0;
76;39;S38;73;BONHEUR;EPICEE;FRUIT DE LA PASSION;21;
78;42;CS19;9;TRISTESSE;CHIMIQUE;ALCOOL;95;HOPITAL
79;43;S45;81;AFFECTION;VEGETALE;ESSENCE;37;déodorant
80;42;CS30;0;DOUCEUR;CHIMIQUE;POISSON;73;inodore
81;43;S32;67;BONHEUR;FRUITEE;FRUIT DE LA PASSION;23;orange
82;42;CS36;0;DOUCEUR;EPICEE;VINAIGRE;80;doux
83;43;CS12;73;BONHEUR;CHIMIQUE;ALCOOL;47;peinture
84;42;CS7;80;DOUCEUR;FRUITEE;FRUIT DE LA PASSION;21;deodorant
85;43;PB5;68;FOLIE;CHIMIQUE;ALCOOL;44;plastique
86;42;CS38;11;DOUCEUR;VEGETALE;RAISIN;71;végétal
87;43;CS41;50;NERVOSITE;ANIMALE;BOUC / CHEVRE;70;transpi
88;42;PB9;82;IRRITATION;EPICEE;PIMENT;54;chimique
89;44;CS14;41;IRRITATION;CHIMIQUE;SANGLIER;54;
90;43;CS44;50;ANXIETE;ANIMALE;CHIEN MOUILLE;59;...
91;44;CS9;37;DOUCEUR;GRASSE;BEURRE RANCE;14;
92;44;CS30;0;DEPRESSION;CHIMIQUE;ESSENCE;27;pas vraiment d'odeur
93;44;PB1;80;ANXIETE;EPICEE;CUMIN;76;
94;44;CS37;0;BONHEUR;VEGETALE;FRUIT DE LA PASSION;8;odeur trés faible (mais bonne ! )
95;44;CS13;57;BONHEUR;FRUITEE;FRUIT DE LA PASSION;20;
96;45;PB6;80;NERVOSITE;CHIMIQUE;BOUILLON DE POULET;71;smell like a bad deodorant
97;45;S71;50;IRRITATION;VEGETALE;ALCOOL;20;
98;46;S53;82;NERVOSITE;GRASSE;CHIEN MOUILLE;100;diaki
99;47;CS6;77;NERVOSITE;CHIMIQUE;ALCOOL;50;feutre de tableau blanc
100;48;CS30;0;DOUCEUR;GRASSE;PIMENT;76;inodore
101;47;S53;50;IRRITATION;CHIMIQUE;RAISIN;0;test
102;46;CS32;83;NERVOSITE;CHIMIQUE;AIL;100;tabac froid
103;48;S44;67;IRRITATION;EPICEE;PIMENT;100;piment
104;47;CS43;7;EXCITATION;VEGETALE;CHOUX;47;sciure
105;47;CS47;0;ANXIETE;EPICEE;RAISIN;48;poivré
106;47;CS38;0;BONHEUR;FRUITEE;FRUIT DE LA PASSION;49;inodore
107;48;S46;63;DEPRESSION;ANIMALE;SANGLIER;100;vomi
108;47;CS53;50;IRRITATION;ANIMALE;CUMIN;75;transpiration
109;46;CS55;61;TRISTESSE;CHIMIQUE;ESSENCE;98;enfant turbulant
110;48;PB2;100;DOUCEUR;FRUITEE;RAISIN;42;grappe
111;46;CS23;21;FOLIE;CHIMIQUE;CHOUX;77;DEO NARTA
112;45;CS20;24;DOUCEUR;CHIMIQUE;BEURRE RANCE;23;colle
113;45;S28;4;BONHEUR;VEGETALE;ESSENCE;27;houx
114;48;CS35;0;PEUR;GRASSE;POISSON;100;Odeur de rien
116;45;CS54;0;TRISTESSE;GRASSE;BEURRE RANCE;78;distante
117;45;CS12;36;IRRITATION;CHIMIQUE;BEURRE RANCE;27;colle
118;48;CS32;0;TRISTESSE;VEGETALE;ESSENCE;65;Odeur de rien
119;49;CS26;90;NERVOSITE;CHIMIQUE;VINAIGRE;95;
120;50;CS35;16;BONHEUR;EPICEE;POISSON;86;
121;49;CS31;2;BONHEUR;FRUITEE;CUMIN;11;femme
122;50;CS8;2;BONHEUR;ANIMALE;BOUILLON DE POULET;36;
127;53;PB7;39;NERVOSITE;CHIMIQUE;CUMIN;53;Baby Powder
128;54;CS51;7;TRISTESSE;CHIMIQUE;RAISIN;27;Pas d'odeur
129;53;S44;6;PEUR;VEGETALE;MENTHE;41;no smell
130;54;CS48;12;NERVOSITE;CHIMIQUE;ESSENCE;16;almost no smell
131;55;S45;0;TRISTESSE;EPICEE;BEURRE RANCE;51;néant
132;53;CS47;31;PEUR;VEGETALE;MENTHE;45;doesn't really smell
133;54;CS33;8;DOUCEUR;FRUITEE;RAISIN;0;
134;54;CS40;13;EXCITATION;VEGETALE;ASPERGE;22;
135;53;PB9;63;ANXIETE;ANIMALE;CHIEN MOUILLE;85;sweaty animal
136;54;CS32;37;IRRITATION;ANIMALE;SANGLIER;28;
137;53;PB3;53;NERVOSITE;CHIMIQUE;ESSENCE;75;
138;54;CS19;47;IRRITATION;ANIMALE;BOUC / CHEVRE;16;
139;53;CS39;98;COLERE;ANIMALE;SANGLIER;96;
140;55;CS29;0;PEUR;GRASSE;ASPERGE;0;pas d'odeur
141;55;CS8;67;NERVOSITE;CHIMIQUE;ESSENCE;69;plastique d'un tube falcon 50 mL,pas d'odeur à part cette odeur de plastique et aucune émotion, salut c'est alex
142;55;CS47;0;FOLIE;FRUITEE;FROMAGE;0;aucune odeur
143;55;CS13;100;NERVOSITE;CHIMIQUE;ESSENCE;89;falcon 50 mL
144;55;CS56;50;RAGE;EPICEE;ASPERGE;0;pas d'odeur
145;56;S36;0;DOUCEUR;FRUITEE;RAISIN;54;rien
146;56;CS24;74;IRRITATION;CHIMIQUE;VINAIGRE;100;creme réparatrice
147;56;CS55;24;NERVOSITE;ANIMALE;CHIEN MOUILLE;100;sueur d'homme
148;56;CS10;87;EXCITATION;CHIMIQUE;ALCOOL;100;désinfectant
149;56;CS40;0;ANXIETE;ANIMALE;CHIEN MOUILLE;100;rien
150;56;S71;34;AFFECTION;VEGETALE;ASPERGE;100;rien
151;57;CS56;90;RAGE;GRASSE;CHIEN MOUILLE;95;stay far away from me
152;58;CS18;11;DOUCEUR;CHIMIQUE;RAISIN;46;light odor
153;57;CS3;52;IRRITATION;CHIMIQUE;OIGNON;87;did you shower today?
154;58;CS1;61;BONHEUR;FRUITEE;PIMENT;31;rien
155;57;CS22;17;EXCITATION;FRUITEE;VINAIGRE;51;doesnt smell much
156;57;PB3;47;AFFECTION;VEGETALE;CUMIN;57;baby powder
157;58;CS55;84;NERVOSITE;EPICEE;PIMENT;81;
158;57;S36;96;BONHEUR;VEGETALE;MENTHE;3;Minty Fresh
159;58;CS50;50;AFFECTION;FRUITEE;FRUIT DE LA PASSION;16;verger
160;58;CS10;63;DOUCEUR;VEGETALE;RAISIN;35;smell
161;57;CS55;93;TRISTESSE;GRASSE;BOUC / CHEVRE;99;stay far away from me
162;58;CS47;7;DEPRESSION;GRASSE;MENTHE;23;rain
163;59;CS43;65;IRRITATION;ANIMALE;BOUC / CHEVRE;100;vestiaire
164;59;CS47;13;NERVOSITE;GRASSE;BEURRE RANCE;57;
165;59;PB3;83;NERVOSITE;CHIMIQUE;VINAIGRE;100;
166;59;CS42;30;IRRITATION;ANIMALE;CHIEN MOUILLE;58;
167;59;CS25;80;IRRITATION;CHIMIQUE;VINAIGRE;100;
168;59;CS7;75;IRRITATION;ANIMALE;SANGLIER;100;
169;60;CS3;15;IRRITATION;FRUITEE;FRUIT DE LA PASSION;47;morning wake up
170;60;CS42;0;TRISTESSE;EPICEE;ESSENCE;48;just passing by
171;60;S45;85;EXCITATION;FRUITEE;FRUIT DE LA PASSION;0;orangine
172;60;CS28;0;PEUR;GRASSE;BEURRE RANCE;67;monday morning
173;60;CS38;0;DOUCEUR;GRASSE;CHIEN MOUILLE;58;where are you?
174;60;CS41;6;PEUR;GRASSE;CHOUX;50;calm down
