"id";"smeller_id";"sample_id";"intensity";"humor_id";"note_id";"image_id";"feeling";"name"
1;1;30;80;9;;;80;""
2;2;32;0;;6;;80;""
3;3;41;60;6;2;18;20;""
4;4;44;60;6;4;;20;""
5;5;44;80;9;4;;0;""
6;6;45;60;6;4;;0;""
7;7;32;20;;;;40;""
8;8;45;60;;4;9;20;""
9;9;48;40;6;;9;20;""
10;10;71;40;13;2;;60;""
11;11;121;40;2;2;19;80;""
12;12;124;60;;;;60;""
13;13;127;80;4;2;;80;""
14;14;130;40;6;2;19;20;""
15;15;125;40;13;5;;60;""
16;16;123;20;;2;19;60;""
17;17;136;100;2;5;7;80;""
18;18;141;40;;2;;60;""
19;19;144;40;1;4;8;40;""
20;20;144;80;9;5;16;80;""
21;21;102;80;6;5;;40;""
22;22;101;60;9;1;4;80;""
23;23;102;100;4;1;2;60;""
24;24;103;100;1;4;;0;""
25;25;103;80;6;5;;20;""
26;26;104;100;1;1;3;100;""
27;27;104;100;4;1;4;100;""
28;28;105;40;;;;60;""
29;29;107;80;6;2;;20;""
30;30;108;40;;5;;0;""
31;31;177;100;1;3;4;72;"test1216"
32;31;122;11;10;4;9;58;"test1217"
33;31;174;50;13;6;15;70;"test1218"
34;31;136;77;10;3;4;66;"test1219"
35;31;45;79;4;3;8;80;"test1220"
36;31;103;92;9;3;13;63;"test1221"
37;32;172;72;9;6;13;56;"testes"
38;32;134;0;;;;0;""
39;33;175;50;;;;0;""
40;34;125;16;1;2;18;38;"Tuyau"
41;35;28;5;6;6;8;49;"Le néant"
42;36;41;79;1;1;2;100;"fourure"
43;35;36;0;13;6;8;49;"Rien"
44;36;169;70;7;3;15;0;"poivre frais"
45;34;139;84;10;1;3;57;"Voiture"
46;35;153;29;3;4;9;13;"Fruit fruit"
47;34;128;56;2;3;16;33;"mangrove"
48;36;32;11;7;1;9;0;"amour"
49;35;158;0;13;6;8;100;"Rien"
50;35;144;78;10;2;16;62;"Champignon de piscine"
51;34;147;78;7;6;15;24;"Camphre"
52;35;149;0;1;6;8;100;"Rien"
53;34;171;90;11;5;12;86;"Effort"
54;36;176;0;;;;0;""
55;34;170;74;10;3;17;59;"Bar"
56;37;44;90;3;4;9;0;"Mandarinne"
57;37;135;18;6;1;19;17;"Sueur froide"
58;37;174;0;6;2;8;24;"odeur trés neutre"
59;37;103;71;7;3;15;14;"good peper ! :)"
60;37;46;17;1;4;8;24;""
61;37;131;0;;;;0;""
62;38;137;19;6;6;8;0;"fade"
63;38;169;0;;;;0;""
64;39;123;10;6;2;14;30;""
65;40;38;0;1;1;5;100;""
66;40;63;50;;;;0;""
67;39;173;97;9;1;3;100;""
68;41;48;57;9;4;6;49;"test"
69;41;142;100;13;2;18;52;"hopital"
70;39;131;72;2;2;17;53;""
71;41;151;24;6;1;5;55;""
72;39;144;40;2;2;17;63;""
73;39;125;70;6;2;17;77;""
74;41;138;100;11;2;7;100;""
75;41;44;87;3;4;9;0;""
76;39;38;73;3;3;9;21;""
77;41;152;0;;;;0;""
78;42;139;9;13;2;18;95;"HOPITAL"
79;43;45;81;1;6;19;37;"déodorant"
80;42;150;0;6;2;1;73;"inodore"
81;43;32;67;3;4;9;23;"orange"
82;42;156;0;6;3;17;80;"doux"
83;43;132;73;3;2;18;47;"peinture"
84;42;127;80;6;4;9;21;"deodorant"
85;43;105;68;8;2;18;44;"plastique"
86;42;158;11;6;6;8;71;"végétal"
87;43;161;50;10;1;3;70;"transpi"
88;42;109;82;9;3;15;54;"chimique"
89;44;134;41;9;2;4;54;""
90;43;164;50;2;1;2;59;"..."
91;44;129;37;6;5;7;14;""
92;44;150;0;5;2;19;27;"pas vraiment d'odeur"
93;44;101;80;2;3;16;76;""
94;44;157;0;3;6;9;8;"odeur trés faible (mais bonne ! )"
95;44;133;57;3;4;9;20;""
96;45;106;80;10;2;5;71;"smell like a bad deodorant"
97;45;71;50;9;6;18;20;""
98;46;53;82;10;5;2;100;"diaki"
99;47;126;77;10;2;18;50;"feutre de tableau blanc"
100;48;150;0;6;5;15;76;"inodore"
101;47;53;50;9;2;8;0;"test"
102;46;152;83;10;2;11;100;"tabac froid"
103;48;44;67;9;3;15;100;"piment"
104;47;163;7;7;6;12;47;"sciure"
105;47;167;0;2;3;8;48;"poivré"
106;47;158;0;3;4;9;49;"inodore"
107;48;46;63;5;1;4;100;"vomi"
108;47;173;50;9;1;16;75;"transpiration"
109;46;175;61;13;2;19;98;"enfant turbulant"
110;48;102;100;6;4;8;42;"grappe"
111;46;143;21;8;2;12;77;"DEO NARTA"
112;45;140;24;6;2;7;23;"colle"
113;45;28;4;3;6;19;27;"houx"
114;48;155;0;11;5;1;100;"Odeur de rien"
115;46;128;0;;;;0;""
116;45;174;0;13;5;7;78;"distante"
117;45;132;36;9;2;7;27;"colle"
118;48;152;0;13;6;19;65;"Odeur de rien"
119;49;146;90;10;2;17;95;""
120;50;155;16;3;3;1;86;""
121;49;151;2;3;4;16;11;"femme"
122;50;128;2;3;1;5;36;""
123;49;155;0;;;;0;""
124;50;71;0;;;;0;""
