id;smeller;sample;intensity;humor;note;image;feeling;name
1;1;1;0;None;None;None;0;
2;2;1;0;None;None;None;0;
3;3;3;0;None;None;None;0;
4;4;9;0;None;None;None;0;
5;6;1;0;None;None;None;0;
6;7;1;0;None;None;None;0;
7;8;1;0;None;None;None;0;
8;9;1;98;Humor object;Note object;Image object;0;qfqf
9;10;1;0;None;None;None;0;
10;11;1;0;None;None;None;0;
11;12;1;0;None;None;None;0;
12;13;1;100;Humor object;Note object;None;0;
13;14;1;100;Humor object;Note object;None;0;
14;15;1;0;Humor object;Note object;None;0;
