id;sex;age;date_registration
1;F;18;2014-09-19 22:20:53.985000+00:00
2;F;18;2014-09-19 22:28:30.928000+00:00
3;F;18;2014-09-19 22:30:31.997000+00:00
4;F;18;2014-09-19 22:31:39.305000+00:00
5;F;18;2014-09-19 22:39:11.859000+00:00
6;F;18;2014-09-19 22:40:24.404000+00:00
7;F;18;2014-09-19 22:44:09.263000+00:00
8;F;18;2014-09-19 22:48:51.393000+00:00
9;F;18;2014-09-19 22:54:50.061000+00:00
10;F;18;2014-09-19 23:13:08.380000+00:00
11;F;18;2014-09-19 23:15:02.763000+00:00
12;F;18;2014-09-19 23:17:19.428000+00:00
13;F;18;2014-09-19 23:19:39.830000+00:00
14;F;18;2014-09-19 23:32:35.086000+00:00
15;F;18;2014-09-19 23:40:57.990000+00:00
